x cod0 cod1 cod2 cod3 cod4 cod5 cod6 cod7 cod8 cod9
-1.9424 1.5857185531938663e-12 -5.850402518786097e-12 -4.3549210498705595e-12 -3.2426832607202017e-12 -5.545983451369928e-12 -3.4318529923616037e-12 -4.923474522219284e-12 -6.215745349318994e-12 -5.683418150297676e-12 -4.3813117359468e-12
-1.9408 1.6297492274097025e-12 -6.013523557119949e-12 -4.476710416924719e-12 -3.333401621136816e-12 -5.700977371828233e-12 -3.52751967503913e-12 -5.060957235810389e-12 -6.3892170928220704e-12 -5.8423940313259655e-12 -4.503635839529126e-12
-1.9392 1.6737789792810644e-12 -6.176677560710936e-12 -4.5985440725135494e-12 -3.4241547829262305e-12 -5.856022039561531e-12 -3.6232045973323304e-12 -5.198478843045748e-12 -6.562732736350388e-12 -6.00142954233434e-12 -4.625993510668549e-12
-1.9376 1.7178078088079469e-12 -6.339864529559024e-12 -4.720422016637034e-12 -3.514942746088439e-12 -6.011117454569796e-12 -3.718907759241192e-12 -5.336039343925345e-12 -6.73629227990392e-12 -6.160524683322785e-12 -4.748384749365058e-12
-1.936 1.7618357159903486e-12 -6.5030844636642235e-12 -4.842344249295177e-12 -3.605765510623434e-12 -6.166263616853033e-12 -3.8146291607657155e-12 -5.473638738449177e-12 -6.909895723482666e-12 -6.319679454291284e-12 -4.870809555618653e-12
-1.9344 1.805862700828271e-12 -6.666337363026534e-12 -4.9643107704879676e-12 -3.696623076531219e-12 -6.321460526411237e-12 -3.910368801905897e-12 -5.611277026617247e-12 -7.083543067086629e-12 -6.478893855239847e-12 -4.9932679294293315e-12
-1.9328 1.8498887633217074e-12 -6.829623227645926e-12 -5.086321580215403e-12 -3.787515443811784e-12 -6.476708183244387e-12 -4.006126682661725e-12 -5.748954208429533e-12 -7.257234310715775e-12 -6.638167886168455e-12 -5.115759870797071e-12
-1.9312 1.8939139034706703e-12 -6.992942057522444e-12 -5.208376678477509e-12 -3.878442612465151e-12 -6.632006587352539e-12 -4.101902803033229e-12 -5.8866702838860715e-12 -7.430969454370163e-12 -6.797501547077144e-12 -5.238285379721912e-12
-1.9296 1.9379381212751526e-12 -7.15629385265607e-12 -5.330476065274261e-12 -3.969404582491309e-12 -6.7873557387356526e-12 -4.197697163020393e-12 -6.024425252986848e-12 -7.604748498049766e-12 -6.956894837965893e-12 -5.360844456203836e-12
-1.928 1.9819614167351564e-12 -7.319678613046812e-12 -5.452619740605672e-12 -4.060401353890258e-12 -6.942755637393734e-12 -4.293509762623219e-12 -6.1622191157318575e-12 -7.778571441754583e-12 -7.11634775883471e-12 -5.483437100242846e-12
-1.9264000000000001 2.025983789850673e-12 -7.483096338694626e-12 -5.574807704471721e-12 -4.151432926661983e-12 -7.098206283326769e-12 -4.389340601841687e-12 -6.3000518721210846e-12 -7.952438285484587e-12 -7.275860309683565e-12 -5.606063311838921e-12
-1.9248 2.0700052406217163e-12 -7.646547029599582e-12 -5.697039956872447e-12 -4.242499300806509e-12 -7.2537076765347945e-12 -4.485189680675832e-12 -6.437923522154575e-12 -8.126349029239829e-12 -7.435432490512504e-12 -5.728723090992101e-12
-1.9232 2.11402576904828e-12 -7.810030685761635e-12 -5.819316497807821e-12 -4.333600476323827e-12 -7.409259817017782e-12 -4.581056999125638e-12 -6.575834065832285e-12 -8.300303673020292e-12 -7.595064301321506e-12 -5.85141643770236e-12
-1.9216 2.158045375130363e-12 -7.9735473071808e-12 -5.941637327277846e-12 -4.424736453213936e-12 -7.564862704775748e-12 -4.676942557191103e-12 -6.713783503154244e-12 -8.47430221682596e-12 -7.754755742110564e-12 -5.9741433519697026e-12
-1.92 2.2020640588679674e-12 -8.137096893857066e-12 -6.064002445282532e-12 -4.515907231476835e-12 -7.72051633980868e-12 -4.7728463548722304e-12 -6.851771834120437e-12 -8.648344660656849e-12 -7.914506812879689e-12 -6.096903833794127e-12
-1.9184 2.246081820261084e-12 -8.300679445790424e-12 -6.18641185182185e-12 -4.6071128111125065e-12 -7.87622072211656e-12 -4.8687683921690035e-12 -6.989799058730846e-12 -8.822431004512922e-12 -8.07431751362886e-12 -6.219697883175619e-12
-1.9168 2.2900986593097277e-12 -8.464294962980913e-12 -6.308865546895841e-12 -4.698353192120989e-12 -8.031975851699427e-12 -4.96470866908145e-12 -7.127865176985507e-12 -8.996561248394242e-12 -8.234187844358106e-12 -6.34252550011421e-12
-1.9152 2.3341145760138927e-12 -8.627943445428504e-12 -6.431363530504487e-12 -4.78962837450226e-12 -8.187781728557272e-12 -5.0606671856095555e-12 -7.265970188884409e-12 -9.17073539230077e-12 -8.394117805067417e-12 -6.465386684609882e-12
-1.9136 2.378129570373577e-12 -8.791624893133206e-12 -6.553905802647788e-12 -4.880938358256318e-12 -8.343638352690082e-12 -5.156643941753326e-12 -7.404114094427541e-12 -9.344953436232514e-12 -8.554107395756798e-12 -6.588281436662644e-12
-1.912 2.422143642388781e-12 -8.955339306095014e-12 -6.676492363325741e-12 -4.972283143383165e-12 -8.49954572409786e-12 -5.25263893751275e-12 -7.542296893614907e-12 -9.519215380189468e-12 -8.714156616426235e-12 -6.711209756272484e-12
-1.9104 2.4661567920594985e-12 -9.119086684313897e-12 -6.799123212538337e-12 -5.063662729882791e-12 -8.655503842780587e-12 -5.348652172887826e-12 -7.680518586446499e-12 -9.693521224171615e-12 -8.87426546707571e-12 -6.8341716434393905e-12
