step tcv left right
0 0.010218432854850499 -0.20240199520498395 0.20241795796570017
1 0.011725290318149818 -0.20517526618705592 0.20514592833862266
2 0.011944308375841756 -0.20790169819188595 0.20797640993640032
3 0.012285978663657512 -0.21043559859147626 0.21075634848756458
4 0.012563439837292311 -0.21298180450007828 0.21378848444957926
5 0.01289155185677291 -0.21555236680042436 0.21682258976019547
6 0.013231354170916846 -0.21814728778333498 0.21978347391820363
7 0.013578025200261495 -0.22073129564923782 0.22270501623471756
8 0.013874943978161714 -0.22343982732030332 0.22530872845025232
9 0.014248803132517768 -0.22637274831054127 0.22813973533121756
10 0.014578855811379698 -0.22911350608616404 0.2308399775575426
11 0.014951736924204302 -0.23179374196818636 0.23385796196406589
12 0.015250820148151168 -0.23455495538386315 0.23665609988350264
13 0.015571112060406577 -0.23740244734964358 0.2393626251431129
14 0.015963644737449142 -0.24011658241196582 0.24215682263652144
15 0.016335426890044837 -0.24293782237564535 0.24511513764420795
16 0.01670925695631537 -0.2459234751050693 0.2480952367513583
17 0.017070486033149625 -0.24865819922725801 0.2508973867406886
18 0.017460381989054724 -0.2514426252058462 0.25378729669709116
19 0.017868163813630756 -0.2541312551129975 0.2569122400256344
20 0.018268606487624822 -0.257151804440874 0.2598390863824312
21 0.018691592348754005 -0.26002753777876303 0.2628245935012258
22 0.01905438177147566 -0.26282528174324843 0.26574560835262084
23 0.019473603194707506 -0.26546552888819996 0.26850861832651746
24 0.01983927537279124 -0.2685384480290136 0.2714210852227478
25 0.02026075843440073 -0.27121273890640313 0.27449300106874686
26 0.02072386019522886 -0.27394621449373546 0.277295373848118
27 0.021135954877872995 -0.27657342278874564 0.2801084332291154
28 0.021485404601337528 -0.27947994489217187 0.2831242663168648
29 0.021991574292251362 -0.28294256246976457 0.2868349179205132
30 0.022511018233270834 -0.28613078050672197 0.29027209033228907
31 0.02299734896723819 -0.2888884255556772 0.2933573381741832
32 0.023484959587007068 -0.29158045662093235 0.29641191730597183
33 0.023948532207061723 -0.29437625723550215 0.2997409550573057
34 0.02443566030662308 -0.29754589519029756 0.30325955689182504
35 0.024885644318247285 -0.30117576958891973 0.3068769002160419
36 0.025516545548441436 -0.3045938583271132 0.31003398300683205
37 0.026039933295372186 -0.3078491238826811 0.31314857103618415
38 0.026576428046166112 -0.310920721740477 0.31638885375188086
39 0.027102963786900355 -0.3143000139840355 0.3197481097708779
40 0.027689182288259864 -0.3177844080714394 0.32347078796931344
41 0.02824066088392342 -0.3209088175229373 0.32705667971401103
42 0.02879685787405389 -0.32422451135819064 0.33041196096056225
43 0.029440637540297056 -0.3273989758197172 0.3338971278822654
44 0.03001173209411874 -0.33082386454634216 0.3377034243986852
45 0.03058610948530164 -0.33433202123269434 0.34212591267192854
46 0.03127092878391999 -0.33761491241002517 0.3455111637902584
47 0.031888450678497826 -0.3411245887153719 0.34877059897878626
48 0.03251160236913992 -0.34451956364188524 0.3526146056406895
49 0.03317960048015832 -0.34778296576359397 0.3567329849651774
50 0.03383832503081078 -0.3521094816291577 0.3604872086864556
51 0.03459228302812529 -0.35672534824573754 0.36511486766831397
52 0.03545221158299668 -0.3611584859723448 0.36929463426379583
53 0.03629950567294182 -0.36545841633445203 0.37291378177215634
54 0.03697840575171219 -0.37033587332678114 0.3764389646636486
55 0.03782993622750597 -0.3748860545871384 0.3803845506986055
56 0.03855651133093164 -0.378273364573514 0.3849436908288001
57 0.039375649959276414 -0.38306743799469223 0.3889478632157323
58 0.04025691103519359 -0.3878497548090164 0.3933774641025101
59 0.04117030149248305 -0.39302429122433147 0.39681407608649016
60 0.04201373721234135 -0.3979848899419334 0.4012748850120911
61 0.042939166861547695 -0.4026820561422699 0.40590883775811615
62 0.043907069027578904 -0.4072693403358366 0.409483715732352
63 0.04470677853840675 -0.41219188855647715 0.4141299593320344
64 0.045703195570154044 -0.4159595412402622 0.4188822365478222
65 0.04661683467269158 -0.42085772497987567 0.42274545952423803
66 0.04758831219003202 -0.42589363028407673 0.42750930587381586
67 0.04853913049125888 -0.4310798726598361 0.4316326675793294
68 0.049664236782922734 -0.4356859019241425 0.43614933605180106
69 0.05061673779394126 -0.4406476467032833 0.43996927272753505
70 0.05157572489429208 -0.44544455365667 0.4444229322730275
71 0.05257964794247345 -0.4501452442921635 0.449350791847138
72 0.05374646513733117 -0.45469992637139955 0.45460027272317527
73 0.05480630340122882 -0.4596895044451455 0.4598797472069034
74 0.055931210349252185 -0.4651688510223391 0.46439654561010796
75 0.05708055051432404 -0.4704005439672069 0.46939270628288576
76 0.058172937281872394 -0.47497074365713543 0.47445410753614436
77 0.059349742391019894 -0.4803254787577467 0.4796756187253584
78 0.060596278062946464 -0.4849621434399443 0.4843443797120996
79 0.061649024888396416 -0.4896170737552132 0.4892909703281473
80 0.06279545718889745 -0.4945013081624893 0.4942609882184186
81 0.0640279764915769 -0.499506873015966 0.49972041883328755
82 0.06517142285271471 -0.5045423019553422 0.5053582631348494
83 0.06655343846837297 -0.5100230878591477 0.5101765875485623
84 0.06778757228326715 -0.514899812197591 0.515270921673989
85 0.06893382967225677 -0.5200404100936369 0.5200714989078753
86 0.07021312928619078 -0.5248074284150427 0.524928587254962
87 0.0713836132173145 -0.5301364055397068 0.5297256125809054
88 0.07274649817912193 -0.5353068163837603 0.5350728498322781
89 0.07398688746454678 -0.5402136165232322 0.5394353570232533
90 0.07518236209839867 -0.5452188062396235 0.5444291716785717
91 0.07642478214870706 -0.5501299806276657 0.5498298386855395
92 0.07783270946494203 -0.5549435669665832 0.5557143934620816
93 0.07914645981185933 -0.5595311195034101 0.561824501561176
94 0.08049281804714378 -0.5643213794738028 0.5671827328790373
95 0.08184356560173303 -0.569409997208314 0.5732868308649245
96 0.08330119758627214 -0.574683032378259 0.5790782202266075
97 0.08486734412676424 -0.580264218189248 0.5844992281513335
98 0.08624903826794222 -0.5850130679897532 0.5899399243014266
99 0.08755484789510994 -0.5898750194044439 0.5959749097383248
