x cod0 cod1 cod2 cod3 cod4 cod5 cod6 cod7 cod8 cod9 cod10 cod11 cod12 cod13 cod14 cod15 cod16 cod17 cod18 cod19 cod20 cod21 cod22 cod23 cod24 cod25 cod26 cod27 cod28 cod29 cod30 cod31 cod32 cod33 cod34 cod35 cod36 cod37 cod38 cod39 cod40 cod41 cod42 cod43 cod44 cod45 cod46 cod47 cod48 cod49 cod50 cod51 cod52 cod53 cod54 cod55 cod56 cod57 cod58 cod59 cod60 cod61 cod62 cod63 cod64 cod65 cod66 cod67 cod68 cod69 cod70 cod71 cod72 cod73 cod74 cod75 cod76 cod77 cod78 cod79 cod80 cod81 cod82 cod83 cod84 cod85 cod86 cod87 cod88 cod89 cod90 cod91 cod92 cod93 cod94 cod95 cod96 cod97 cod98 cod99
-1.995 5.57458866739873e-15 1.0554359793940375e-14 1.623171792258038e-14 1.51853678889804e-14 1.2611047346772614e-14 1.4252065252680103e-14 1.840374241451753e-14 1.620393837443346e-14 2.1728589840657933e-14 1.774366494369448e-14 2.050839565363408e-14 1.8107573859206636e-14 2.2130440978551354e-14 2.8311443611633354e-14 2.6232942419184462e-14 2.292232760429548e-14 2.9221829168637137e-14 2.6032805537058013e-14 2.101323606399408e-14 2.2820920828480143e-14 4.349092637805043e-14 4.2687441860641384e-14 4.9869757416252497e-14 5.1372416730294004e-14 5.1401422642732005e-14 5.972726726321865e-14 6.272928725913644e-14 5.530529511132918e-14 6.68807950599239e-14 8.316414839428687e-14 7.234414874779514e-14 8.280765869605491e-14 1.0058555766058975e-13 1.0207835346499773e-13 1.0809029979396207e-13 1.1545892765119258e-13 1.3592099414797905e-13 1.7420028339624333e-13 1.6306493206481714e-13 1.5123609662972324e-13 1.7018648087154108e-13 1.642498983201194e-13 1.5893955153008334e-13 2.5147073221523905e-13 2.1322853465709252e-13 2.0189030134471417e-13 2.311960232322316e-13 2.0719282718959233e-13 2.5186765776406104e-13 3.150359503652651e-13 2.6007544452419343e-13 2.1196452801398622e-13 3.687686871027546e-13 4.179745719152058e-13 2.7808905242241e-13 3.1379624604802945e-13 4.4358004958322107e-13 4.768424061303556e-13 4.93979450658617e-13 5.328738158192858e-13 6.499589762894212e-13 5.870715178350979e-13 6.811545760817278e-13 6.246443746947165e-13 7.720340003336062e-13 6.629632844117539e-13 8.843472439343979e-13 7.983729718080139e-13 8.767097199953542e-13 9.448525681145395e-13 7.952582197221535e-13 1.1288820117136338e-12 1.0989835557370849e-12 1.1784283147970605e-12 1.2946839979842396e-12 1.53849655357386e-12 1.1773319370819346e-12 1.509971447984983e-12 1.3696920702403803e-12 1.1229622151287341e-12 1.6592214770202272e-12 1.4028289657437387e-12 1.6267050472354525e-12 1.7662291144544397e-12 1.9293327778934655e-12 1.7500224990381688e-12 2.337844906505375e-12 1.5616472286343242e-12 2.5718676890791297e-12 3.3131476627848992e-12 3.279413448470694e-12 3.103980132601981e-12 3.023390333391536e-12 2.6604565999795348e-12 3.77663420288417e-12 3.916503173371032e-12 4.136776531136424e-12 4.326359337094294e-12 3.915823884557397e-12 4.127034618188235e-12
-1.99 1.1162969376327106e-14 2.1140321572634918e-14 3.251220640136178e-14 3.040521651860078e-14 2.524210821319121e-14 2.852061901650449e-14 3.6848750322305077e-14 3.243853235896144e-14 4.346699294286609e-14 3.546127550259624e-14 4.1031703743572495e-14 3.621069419195858e-14 4.425944120321916e-14 5.6614186703141735e-14 5.252089640814835e-14 4.5854817955179913e-14 5.839324080053871e-14 5.211805354359611e-14 4.1957282176398066e-14 4.559874132057675e-14 8.697549306043888e-14 8.526801441560241e-14 9.97742486671475e-14 1.028478892076604e-13 1.029550044288276e-13 1.194375578104046e-13 1.2565871042697498e-13 1.1057806775055624e-13 1.3387427325397433e-13 1.6641188253662375e-13 1.4465908710507353e-13 1.6578911658212147e-13 2.0120553800528415e-13 2.0431882531792464e-13 2.162326488058619e-13 2.31046137286319e-13 2.7186625254104986e-13 3.4840640957922533e-13 3.263264920766598e-13 3.024518743379412e-13 3.40453451227913e-13 3.284771401620439e-13 3.182082846307584e-13 5.032573260968522e-13 4.2649133105223986e-13 4.0373676776147515e-13 4.625352553101466e-13 4.1462751911302637e-13 5.038541323271628e-13 6.301011659319599e-13 5.202094249933805e-13 4.239471716762661e-13 7.372854543388503e-13 8.363922783662421e-13 5.560132969070898e-13 6.278900175976778e-13 8.870597794340728e-13 9.52784128552842e-13 9.874342283593767e-13 1.0659272514826024e-12 1.2995158765289387e-12 1.1743242785429404e-12 1.361980091440624e-12 1.2494446491064085e-12 1.5437388683168102e-12 1.3257624630835678e-12 1.7683112787015885e-12 1.5961953760460864e-12 1.7547739771793944e-12 1.8910272018899844e-12 1.5900988617986231e-12 2.2558128110217247e-12 2.1969688004427502e-12 2.356100650612229e-12 2.586165818649025e-12 3.076210771991759e-12 2.3522311080863296e-12 3.017063227113962e-12 2.737948811869848e-12 2.2428411950354357e-12 3.3163193693794663e-12 2.8034447155431723e-12 3.2550641039734344e-12 3.531024055948611e-12 3.856157145672816e-12 3.4953313075106188e-12 4.673201999227704e-12 3.121187183938369e-12 5.140895408341733e-12 6.624507872858782e-12 6.5545420940799314e-12 6.206759317806131e-12 6.034411588234609e-12 5.313732363248318e-12 7.544840846249587e-12 7.82766291668601e-12 8.260521419479848e-12 8.649164942007256e-12 7.817731775285928e-12 8.2542157045406e-12
-1.985 1.676514212678501e-14 3.175788533608329e-14 4.88414654363433e-14 4.565954588886108e-14 3.789318259925557e-14 4.280566129147298e-14 5.533502372336245e-14 4.870378195358365e-14 6.521520930662363e-14 5.315283167670477e-14 6.15699242698148e-14 5.430936099825589e-14 6.63870006740029e-14 8.490822927452526e-14 7.886386196689021e-14 6.879747105265239e-14 8.751423489570475e-14 7.82557440196134e-14 6.283213833721097e-14 6.833346147628895e-14 1.3045370004716422e-13 1.2774171766488126e-13 1.497134737526845e-13 1.5442641743209962e-13 1.5466074535828404e-13 1.7913087164155752e-13 1.8878826950351444e-13 1.658183179176786e-13 2.0098043458214835e-13 2.4974320242700894e-13 2.1694481507183204e-13 2.4894437365819496e-13 3.0185994103408126e-13 3.067214155587785e-13 3.244270470356947e-13 3.4676162890537297e-13 4.0783577517920814e-13 5.226183785489398e-13 4.897846800355262e-13 4.5364733312465033e-13 5.108009110691093e-13 4.926817255257738e-13 4.778061993020186e-13 7.553597816448386e-13 6.397883891854306e-13 6.055393992502756e-13 6.940176962337406e-13 6.223040757702972e-13 7.559594236893002e-13 9.451956467000728e-13 7.804019414075533e-13 6.35947930986836e-13 1.1055503017082799e-12 1.2552531193530998e-12 8.337727334540352e-13 9.42281314648941e-13 1.330439189552545e-12 1.4278251672674535e-12 1.4803643331022566e-12 1.5991603069899298e-12 1.9486707007185514e-12 1.761758282123511e-12 2.042476546076679e-12 1.874400823235043e-12 2.315114603949594e-12 1.988397536015414e-12 2.651892104301548e-12 2.3934672127142074e-12 2.634192771552111e-12 2.838523901326297e-12 2.3845219262293636e-12 3.38079239792424e-12 3.2939557341169514e-12 3.5330170074454766e-12 3.874445461994339e-12 4.613142655253667e-12 3.524697513013139e-12 4.521275337386943e-12 4.1047702248883676e-12 3.3596369397200613e-12 4.971293677077688e-12 4.201847249398267e-12 4.885077170213889e-12 5.294384824482487e-12 5.780473103338041e-12 5.23592642541726e-12 7.006071278166991e-12 4.678619865912024e-12 7.707083157787737e-12 9.934080630221501e-12 9.825385936827684e-12 9.30833755561234e-12 9.033063764529127e-12 7.95982728980622e-12 1.130461993009618e-11 1.173347922994482e-11 1.2371234665030135e-11 1.2968416814738761e-11 1.170572367218553e-11 1.238154325905687e-11
-1.98 2.2381106918772884e-14 4.240705108428647e-14 6.521949502752676e-14 6.094835599976252e-14 5.056427050496663e-14 5.71071920775867e-14 7.386256261769111e-14 6.499968715830165e-14 8.697323893193271e-14 7.081833346602132e-14 8.212305723236282e-14 7.240357427810013e-14 8.851311939090424e-14 1.1319357132578622e-13 1.052618390954126e-13 9.175028689671504e-14 1.1658481145413755e-13 1.0444587696511233e-13 8.363780454643467e-14 9.102508129561803e-14 1.7392554733823033e-13 1.7010855160848215e-13 1.9968743267286822e-13 2.0610800140361534e-13 2.0651864543110622e-13 2.3880720875668247e-13 2.521179644887596e-13 2.2102604561270099e-13 2.68199279044453e-13 3.331581080654489e-13 2.8920133264807804e-13 3.3227342992428395e-13 4.025487667469895e-13 4.092861241875667e-13 4.326734944834705e-13 4.626054025083655e-13 5.438295620624676e-13 6.968361903054048e-13 6.534394959414297e-13 6.048224729898639e-13 6.812288603951456e-13 6.568636544113204e-13 6.377332955438796e-13 1.0077780988592213e-12 8.531197090566918e-13 8.072981958111325e-13 9.256433460030348e-13 8.302224971614215e-13 1.0081835318504932e-12 1.2603193926696313e-12 1.0406529937667384e-12 8.479668059457149e-13 1.4735632292110764e-12 1.6745570948758142e-12 1.111367362063268e-12 1.2569701372018423e-12 1.7737182799386704e-12 1.9019655222742303e-12 1.9727697648873028e-12 2.1325729823413198e-12 2.5974234488583094e-12 2.3493735285768547e-12 2.722643939989941e-12 2.4995128970806706e-12 3.0861612072320225e-12 2.6508685032073653e-12 3.535089720734353e-12 3.1901884818124488e-12 3.5149661031135774e-12 3.7873426664235756e-12 3.178527413014452e-12 4.503820772421276e-12 4.389944356759812e-12 4.709177385296915e-12 5.159522928020293e-12 6.149292203359715e-12 4.694731151862483e-12 6.022607778804041e-12 5.470156309296062e-12 4.473349449182702e-12 6.6241444001150276e-12 5.598036567309146e-12 6.516744245956982e-12 7.056311420056155e-12 7.702280650889292e-12 6.971807852758306e-12 9.336452743323406e-12 6.233945274555395e-12 1.0270430937417383e-11 1.3241865934873426e-11 1.3091944976714236e-11 1.2408714846020905e-11 1.2019346862275383e-11 1.059874137965351e-11 1.505597145442423e-11 1.563395211314786e-11 1.6468916267787668e-11 1.7284114955289164e-11 1.557979957525646e-11 1.6509017281737527e-11
-1.975 2.8010863752290236e-14 5.308781881724347e-14 8.164629517491037e-14 7.627164685130376e-14 6.325537193032339e-14 7.142521137484433e-14 9.243136700528968e-14 8.132624797311379e-14 1.087410818187914e-13 8.84577808705448e-14 1.0269110263121512e-13 9.04933340314896e-14 1.106377973539213e-13 1.4147021285692184e-13 1.3171482779371312e-13 1.1471326548736593e-13 1.4560497047583477e-13 1.306884523800905e-13 1.0437428080406725e-13 1.1367360077856246e-13 2.1739103493363314e-13 2.1236851624640218e-13 2.496961254276937e-13 2.578926411222035e-13 2.585287046472885e-13 2.9846656915577483e-13 3.156477953827055e-13 2.762012508356192e-13 3.355308066408828e-13 4.1665659945193733e-13 3.614286398338046e-13 4.1577628538038063e-13 5.032720151439989e-13 5.120129512042818e-13 5.409719911491807e-13 5.785774580952866e-13 6.798476131908136e-13 8.710598448486031e-13 8.172909397943572e-13 7.559772939335683e-13 8.517372992060057e-13 8.210229268186665e-13 7.979895733563261e-13 1.260512277739976e-12 1.0664852906659992e-12 1.0090131574440328e-12 1.1574122046180085e-12 1.0383827832863838e-12 1.2605264568107225e-12 1.5754724038406102e-12 1.3009625820709126e-12 1.0600037965528834e-12 1.84132423684721e-12 2.0943042049343457e-12 1.3887971827347669e-12 1.5719564852563597e-12 2.2168970505924135e-12 2.375205193573137e-12 2.4646505237144792e-12 2.666165277536717e-12 3.2457741209481573e-12 2.93717001790292e-12 3.4024822731803585e-12 3.1247808706432503e-12 3.856878678164038e-12 3.313175364659354e-12 4.417904127999936e-12 3.986359183340739e-12 4.3970939718637165e-12 4.7374834971817295e-12 3.9721153221538225e-12 5.624897934512739e-12 5.484934668371218e-12 5.884581784166454e-12 6.441398216726782e-12 7.684659416309788e-12 5.862332024634257e-12 7.521060551365116e-12 6.834107065092815e-12 5.58397872342326e-12 8.274871538491346e-12 6.992012669275692e-12 8.150065331202517e-12 8.81680384266951e-12 9.6215797883264e-12 8.702975589533553e-12 1.1664346394696761e-11 7.787163409868385e-12 1.283093874723043e-11 1.654786378681417e-11 1.6354219213739315e-11 1.5507891189031537e-11 1.499326088147309e-11 1.3230474632789939e-11 1.879889541923346e-11 1.9529081566294738e-11 2.055356622775208e-11 2.159625936365811e-11 1.943995948449848e-11 2.0636637772582155e-11
-1.97 3.3654412627337604e-14 6.380018853495538e-14 9.812186587849575e-14 9.162941844348609e-14 7.596648687532693e-14 8.575971918324729e-14 1.1104143688615962e-13 9.768346439802175e-14 1.3051873796720143e-13 1.060711738902767e-13 1.23274060466373e-13 1.0857864025842602e-13 1.3276103456305626e-13 1.697381538679352e-13 1.5822282806179401e-13 1.3768640682460688e-13 1.7457471196079878e-13 1.5698347026455017e-13 1.2504156711011059e-13 1.362790199251239e-13 2.6085016283337654e-13 2.545216115786432e-13 2.9973955201716594e-13 3.097803365878681e-13 3.106909230068366e-13 3.5810895283883926e-13 3.793777621853573e-13 3.313439335864375e-13 4.0297501737144294e-13 5.002386765864806e-13 4.3362673662901893e-13 4.994529400264929e-13 6.040296862251196e-13 6.149018966089319e-13 6.493225370328342e-13 6.946777956661471e-13 8.158899285642605e-13 1.0452893421785496e-12 9.813390115943206e-13 9.071117959557771e-13 1.0223262275017054e-12 9.85159542747831e-13 9.585750327393741e-13 1.5135623182871276e-12 1.2798851340133743e-12 1.210684284148987e-12 1.3893242720786837e-12 1.2467849341451985e-12 1.5129881985700087e-12 1.890654680213034e-12 1.5613307063200953e-12 1.2720589028083617e-12 2.2088333246167123e-12 2.5144944495287307e-12 1.6660621954685529e-12 1.887240358812518e-12 2.6599755015138144e-12 2.847544181164205e-12 2.9560066095838165e-12 3.1999371925761705e-12 3.893722716988155e-12 3.5251477501017574e-12 4.081991545647988e-12 3.750204743922832e-12 4.627267016745706e-12 3.9753181203714444e-12 5.3003353260983716e-12 4.781979317299149e-12 5.280576377802598e-12 5.688946393600853e-12 4.765285653647536e-12 6.7440238841987206e-12 6.578926668951263e-12 7.059230204054179e-12 7.720071328113904e-12 9.219244294103995e-12 7.027500131328552e-12 9.016633655070338e-12 8.196622492278746e-12 6.691524762441833e-12 9.923475092206782e-12 8.383775555298022e-12 9.785040425950689e-12 1.0575862092322693e-11 1.153837051564953e-11 1.042942963574317e-11 1.3989752232287241e-11 9.338274271851082e-12 1.5388606587227118e-11 1.985207418604407e-11 1.9612208647903185e-11 1.8605866584644496e-11 1.7954805822122498e-11 1.5855027049215766e-11 2.253339182452418e-11 2.3418867589385797e-11 2.4625184544923693e-11 2.5904850039845973e-11 2.3286203399911857e-11 2.476440473159109e-11
-1.965 3.931175354391446e-14 7.454416023742108e-14 1.146462071382814e-13 1.0702167077630835e-13 8.869761533997615e-14 1.0011071550279426e-13 1.2969277226029932e-13 1.1407133643302393e-13 1.523062073771609e-13 1.236585125252152e-13 1.4387193073783475e-13 1.2665949295890764e-13 1.5488283101830697e-13 1.9799739435882336e-13 1.8478583989965286e-13 1.6066971090843573e-13 2.0349403590902695e-13 1.8333093061848892e-13 1.456396634645628e-13 1.5884133873530117e-13 3.043029310374566e-13 2.965678376052036e-13 3.498177124412801e-13 3.617710878006053e-13 3.6300530050974546e-13 4.177343598058699e-13 4.43307864896709e-13 3.864540938651512e-13 4.705319112361275e-13 5.83904339469073e-13 5.057956230337129e-13 5.833033938626119e-13 7.048217799903425e-13 7.179529604015071e-13 7.577251321344203e-13 8.109064152209355e-13 9.519565081827953e-13 1.21952468229523e-12 1.145583711341308e-12 1.0582259790564765e-12 1.192995645282231e-12 1.1492735021987988e-12 1.1194896736930067e-12 1.766928220500651e-12 1.4933192390987958e-12 1.4123115759259844e-12 1.6213795483850351e-12 1.4554289497378506e-12 1.765568757128328e-12 2.2058662217868795e-12 1.8217573665142657e-12 1.4841321247121291e-12 2.576090492519549e-12 2.9351278286589383e-12 1.943162400264604e-12 2.20282175787029e-12 3.1029536327028314e-12 3.3189824850474013e-12 3.44683802249528e-12 3.733888727459643e-12 4.541269236978244e-12 4.113306725173324e-12 4.7611717573927694e-12 4.375784516919347e-12 5.397326222976948e-12 4.6372967703435715e-12 6.1823833150295785e-12 5.577048883687606e-12 6.165413320930158e-12 6.641731355680843e-12 5.558038407495537e-12 7.861198621479135e-12 7.671920358499865e-12 8.233122644959985e-12 8.99554226218157e-12 1.075304683674222e-11 8.190235471945276e-12 1.0509327089919538e-11 9.557702590853722e-12 7.795987566238323e-12 1.1569955061261206e-11 9.773325225376033e-12 1.1421669530201322e-11 1.2333486169015563e-11 1.3452652832858518e-11 1.2151169991387025e-11 1.6312670256094662e-11 1.0887277860503405e-11 1.7943434457407204e-11 2.3154497132562876e-11 2.2865913279205536e-11 2.1702641032859562e-11 2.0903981684223376e-11 1.847239862893071e-11 2.6259460670296025e-11 2.730331018242071e-11 2.868377121930218e-11 3.0209886983852346e-11 2.7118531321496244e-11 2.8892318158763974e-11
-1.96 4.498288650202135e-14 8.531973392464164e-14 1.3121931895426886e-13 1.2244840384977176e-13 1.0144875732427216e-13 1.1447820033348657e-13 1.483853731277104e-13 1.3048986407812172e-13 1.74103490048672e-13 1.4121979677536213e-13 1.644847134456024e-13 1.4473589213293624e-13 1.7700318671967545e-13 2.2624793432958891e-13 2.1140386330729223e-13 1.8366317773885513e-13 2.323629423205222e-13 2.0973083344190915e-13 1.6616856986742586e-13 1.8136055720909518e-13 3.477493395458775e-13 3.385071943260856e-13 3.999306067000408e-13 4.1386489476041885e-13 4.154718371560197e-13 4.773427900568735e-13 5.074381035167667e-13 4.415317316717653e-13 5.382014882349426e-13 6.676535880997196e-13 5.779352990478954e-13 6.673276468887469e-13 8.056482964396758e-13 8.211661425820179e-13 8.661797764539506e-13 9.272633167596624e-13 1.0880473520464298e-12 1.3937658651986609e-12 1.310025039035333e-12 1.2093198432356811e-12 1.363745552547595e-12 1.3133648051715818e-12 1.2807334962172404e-12 2.0206099843805717e-12 1.7067876059222853e-12 1.6138950327750403e-12 1.853578033537088e-12 1.6643148300643575e-12 2.0182681324857056e-12 2.5211070285621683e-12 2.082242562653448e-12 1.6962234622642067e-12 2.943095740555752e-12 3.356204342325002e-12 2.2200977971229424e-12 2.5187006824297017e-12 3.545831444159505e-12 3.789520105222759e-12 3.937144762448907e-12 4.268019882187167e-12 5.1884136809184755e-12 4.701646943117663e-12 5.440022908414759e-12 5.001520189632866e-12 6.1670562968578455e-12 5.2991113145758025e-12 7.064048094793628e-12 6.371567882506182e-12 7.051604801246468e-12 7.5958383834218e-12 6.35037358369788e-12 8.976422146354063e-12 8.763915737017112e-12 9.406259106883993e-12 1.026781101892986e-11 1.2286067044224584e-11 9.350538046484538e-12 1.1999140855912862e-11 1.0917347360817878e-11 8.897367134812836e-12 1.3214311445654749e-11 1.116066167950982e-11 1.3059952643954589e-11 1.4089676072748272e-11 1.536442673995354e-11 1.3868196656465248e-11 1.8633100466119223e-11 1.2434174175825442e-11 2.0495422357770912e-11 2.645513262637079e-11 2.611533310764673e-11 2.4798214533676954e-11 2.384078846777599e-11 2.1082589371935014e-11 2.997710195654938e-11 3.1182409345399834e-11 3.2729326250887936e-11 3.451137019567766e-11 3.0936943249252044e-11 3.30203780541012e-11
-1.955 5.0667811501657725e-14 9.612690959661595e-14 1.4784120132645627e-13 1.3790961766387495e-13 1.1421991282821384e-13 1.2886217367532297e-13 1.6711923948839122e-13 1.4693904733331388e-13 1.9591058598173253e-13 1.5875502664071573e-13 1.8511240858967406e-13 1.6280783778051008e-13 1.991221016671596e-13 2.5448977378022957e-13 2.380768982847097e-13 2.0666680731586222e-13 2.6118143119528145e-13 2.3618317873480894e-13 1.8662828631869776e-13 2.0383667534650448e-13 3.911893883586354e-13 3.80339681741286e-13 4.500782347934432e-13 4.660617574673053e-13 4.680905329456547e-13 5.369342435918442e-13 5.717684780455248e-13 4.965768470062749e-13 6.059837483678817e-13 7.514864224784144e-13 6.500457646715575e-13 7.515256991048891e-13 9.065092355731116e-13 9.245414431504546e-13 9.746864699914139e-13 1.0437485002823174e-12 1.224162460155152e-12 1.5680128908888244e-12 1.4746629946763817e-12 1.3603933884933762e-12 1.5345759492977844e-12 1.4774334516661672e-12 1.4423065003120593e-12 2.274607609926863e-12 1.920290234483822e-12 1.8154346546961329e-12 2.08591972753482e-12 1.8734425751247007e-12 2.2710863246421152e-12 2.8363771005388787e-12 2.3427862947376186e-12 1.908332915464574e-12 3.3098490687252918e-12 3.777723990526883e-12 2.496868386043548e-12 2.834877132490726e-12 3.988608935883796e-12 4.259157041690247e-12 4.426926829444661e-12 4.802330656758707e-12 5.835156048808799e-12 5.290168403934725e-12 6.118544998713908e-12 5.627411762063331e-12 6.936457238388327e-12 5.96076175306807e-12 7.945329665390456e-12 7.165536313754803e-12 7.939150818751451e-12 8.551267476823629e-12 7.142291182254504e-12 1.008969445882343e-11 9.854912804502906e-12 1.0578639589826073e-11 1.1536877598358683e-11 1.3818304916550956e-11 1.0508407854946217e-11 1.348607495305018e-11 1.227555680217109e-11 9.995663468165253e-12 1.485654424538725e-11 1.2545784917699264e-11 1.4699889767210318e-11 1.5844431803520635e-11 1.7273692236934417e-11 1.5580509630977674e-11 2.095104286236069e-11 1.3978963217817091e-11 2.3044570288318065e-11 2.975398066746763e-11 2.9360468133226415e-11 2.7892587087096426e-11 2.6765226172780047e-11 2.3685599278228503e-11 3.368631568328385e-11 3.505616507832279e-11 3.676184963968054e-11 3.8809299675321486e-11 3.474143918317887e-11 3.714858441760239e-11
-1.95 5.6366528542824085e-14 1.069656872533452e-13 1.6451185425484555e-13 1.5340531221861927e-13 1.2701108185180234e-13 1.4326263552830441e-13 1.8589437134234342e-13 1.6341888619860161e-13 2.1772749517634464e-13 1.7626420212127767e-13 2.0575501617005146e-13 1.808753299016309e-13 2.2123957586076143e-13 2.8272291271074753e-13 2.6480494483190753e-13 2.296805996394595e-13 2.899495025333079e-13 2.6268796649719006e-13 2.0701881281838046e-13 2.2626969314753118e-13 4.346230774757336e-13 4.2206529985080846e-13 5.002605967214923e-13 5.183616759212679e-13 5.208613878786552e-13 5.965087204107864e-13 6.36298988482989e-13 5.515894398686849e-13 6.738786916349524e-13 8.354028426051645e-13 7.221270199047073e-13 8.358975505110472e-13 1.0074045973906577e-12 1.0280788621068274e-12 1.0832452127468208e-12 1.1603619657889126e-12 1.3603018325089748e-12 1.7422657593657383e-12 1.6394975782644661e-12 1.5114466148295751e-12 1.7054868355328133e-12 1.641479441682571e-12 1.604208685977481e-12 2.5289210971395504e-12 2.1338271247834265e-12 2.016930441689286e-12 2.318404630378253e-12 2.082812184918897e-12 2.5240233335975835e-12 3.1516764377170332e-12 2.603388562766799e-12 2.1204604843132494e-12 3.676350477028198e-12 4.19968677326462e-12 2.7734741670264392e-12 3.151351108053395e-12 4.431286107875743e-12 4.727893294449898e-12 4.916184223482585e-12 5.336821051174307e-12 6.481496340649273e-12 5.8788711076245625e-12 6.796738028290261e-12 6.253459234210795e-12 7.705529047568449e-12 6.622248085820434e-12 8.82622802682014e-12 7.958954177433546e-12 8.828051373445179e-12 9.508018635886426e-12 7.933791203165471e-12 1.1201015558887313e-11 1.0944911560957348e-11 1.1750264093786357e-11 1.2802742000468152e-11 1.534976045372147e-11 1.1663844897330428e-11 1.4970129381331617e-11 1.3632330914913463e-11 1.10908765662957e-11 1.6496653460458885e-11 1.3928694939944497e-11 1.634148089996868e-11 1.7597753361332852e-11 1.9180449323801324e-11 1.7288108914924503e-11 2.326649744481932e-11 1.5521644986478477e-11 2.5590878249048817e-11 3.30510412558536e-11 3.260131835594491e-11 3.098575869311824e-11 2.9677294799235824e-11 2.6281428347811352e-11 3.738710185049987e-11 3.892457738118992e-11 4.07813413856804e-11 4.3103675422784245e-11 3.8532019123277025e-11 4.127693724926792e-11
