it tcv
0 0.009262630681324022
1 0.008828206090302701
2 0.008689366066489377
3 0.008678792114448238
4 0.008593660693330967
5 0.008593572653842899
6 0.008541799983559067
7 0.00853948470702186
8 0.008468609355058738
9 0.008450366217958334
