x cod
-0.25 2.6635959843517848e-08
-0.24 -8.573897448329282e-08
-0.23 -4.1938088047321783e-07
-0.22 -1.8621181419530978e-06
-0.21 -1.5733823871594603e-05
-0.2 -0.0027926358631628974
-0.19 0.009410783711721564
-0.18 0.012791468192046452
-0.16999999999999998 0.015281878397580604
-0.16 0.017357483623295793
-0.15 0.019115936315266018
-0.14 0.02061124259730222
-0.13 0.02188976267171548
-0.12 0.023078801120616922
-0.10999999999999999 0.02403052204583615
-0.1 0.024854094735014345
-0.09 0.02567021324985461
-0.07999999999999999 0.02632207530893716
-0.07 0.026904358072799173
-0.06 0.027390475353454846
-0.04999999999999999 0.027804668088826475
-0.04000000000000001 0.028112346994688207
-0.03 0.02837242987570681
-0.01999999999999999 0.028551795501043933
-0.010000000000000009 0.028668052071141946
0.0 0.02870131827009751
0.010000000000000009 0.02867067535810972
0.020000000000000018 0.028553485465314252
0.030000000000000027 0.0283794823341764
0.03999999999999998 0.028142600965316178
0.04999999999999999 0.027806305388545696
0.06 0.027409981668856335
0.07 0.026913075930475483
0.08000000000000002 0.026303859344600146
0.09000000000000002 0.025649632118774416
0.09999999999999998 0.024900761118688983
0.10999999999999999 0.02402144730953194
0.12 0.023057983759780618
0.13 0.021963835093420137
0.14 0.020636432203837214
0.15000000000000002 0.019073297990890716
0.15999999999999998 0.017382240503647933
0.16999999999999998 0.015309414491423173
0.18 0.012817038895791263
0.19 0.009415205530895313
0.2 -0.0005325854649534578
0.21000000000000002 -1.5752215929355506e-05
0.21999999999999997 -1.3306191193927033e-06
0.22999999999999998 -3.4490496925502547e-07
0.24 1.4992868863177033e-08
0.25 8.061490601868915e-08
